Standnumber,latitude,longitude,airlinecode,neighbor1,neighbor2,size,flytampa
101,N024-25-44.340,E054-38-47.570,PAX,102,113,E,yes
102,N024-25-43.000,E054-38-46.140,PAX,101,103,C,yes
103,N024-25-42.310,E054-38-45.310,PAX,102,NONE,C,yes
111,N024-25-41.880,E054-38-54.890,PAX,112,121,E,yes
112,N024-25-44.070,E054-38-54.400,PAX,111,113,E,yes
113,N024-25-43.660,E054-38-49.700,PAX,101,112,E,yes
121,N024-25-40.950,E054-38-52.990,PAX,122,111,E,yes
122,N024-25-39.490,E054-38-51.240,PAX,121,123,E,yes
123,N024-25-38.140,E054-38-51.100,PAX,122,NONE,D,yes
131,N024-25-37.340,E054-39-01.580,PAX,NONE,133,E,yes
133,N024-25-33.070,E054-38-57.970,PAX,132,134,E,yes
132,N024-25-35.420,E054-38-59.960,PAX,131,133,E,yes
134,N024-25-31.570,E054-38-56.200,PAX,133,136,D,yes
136,N024-25-30.400,E054-38-55.210,PAX,134,NONE,D,yes
201,N024-25-28.860,E054-39-08.510,CLC,NONE,202,E,yes
202,N024-25-27.500,E054-39-10.440,CLC,201,203,E,yes
203,N024-25-26.130,E054-39-12.360,CLC,202,204,E,yes
204,N024-25-24.760,E054-39-14.290,CLC,203,205,E,yes
205,N024-25-23.330,E054-39-16.170,CLC,204,206,E,yes
206,N024-24-21.810,E054-39-18.150,CLC,205,207,E,yes
207,N024-25-20.360,E054-39-20.180,CLC,206,208,E,yes
208,N024-25-18.930,E054-39-22.220,CLC,207,209,E,yes
209,N024-24-17.480,E054-39-24.250,CLC,208,221,E,yes
221,N024-25-16.040,E054-39-26.290,CLC,209,222,E,yes
222,N024-25-14.350,E054-39-28.670,CLC,221,NONE,F,yes
301,N024-26-00.570,E054-38-21.590,ETD,NONE,302,E,yes
302,N024-25-58.980,E054-38-23.660,ETD,301,303,F,yes
303,N024-25-57.250,E054-38-26.120,ETD,302,304,F,yes
304,N024-25-55.630,E054-38-28.350,ETD,303,305,E,yes
305,N024-25-54.160,E054-38-30.430,ETD,304,306,E,yes
306,N024-25-52.680,E054-38-32.500,ETD,305,307,E,yes
307,N024-25-51.210,E054-38-34.580,ETD,306,308,E,yes
308,N024-25-49.550,E054-38-36.770,ETD,307,309,F,yes
309,N024-25-47.820,E054-38-39.210,ETD,308,NONE,F,yes
401,N024-26-22.090,E054-38-09.120,ETD,NONE,402,C,yes
402,N024-26-21.170,E054-38-10.410,ETD,401,403,C,yes
403,N024-26-20.250,E054-38-11.710,ETD,402,404,C,yes
404,N024-26-19.330,E054-38-13.000,ETD,403,405,C,yes
405,N024-26-18.470,E054-38-14.340,ETD,404,406,C,yes
406,N024-26-17.550,E054-38-15.630,ETD,405,407,C,yes
407,N024-26-16.630,E054-38-16.930,ETD,406,408,C,yes
408,N024-26-15.720,E054-38-18.220,ETD,407,409,C,yes
409,N024-26-14.800,E054-38-19.510,ETD,408,NONE,C,yes
410,N024-26-14.730,E054-38-17.390,ETD,NONE,411,C,yes
411,N024-26-15.650,E054-38-16.090,ETD,410,412,C,yes
412,N024-26-16.570,E054-38-14.800,ETD,411,413,C,yes
413,N024-26-17.490,E054-38-13.510,ETD,412,414,C,yes
414,N024-26-18.410,E054-38-12.230,ETD,413,415,C,yes
415,N024-26-19.640,E054-38-10.530,ETD,414,416,C,yes
416,N024-26-20.600,E054-38-09.190,ETD,415,417,C,yes
417,N024-26-21.550,E054-38-07.840,ETD,416,418,C,yes
418,N024-26-22.500,E054-38-06.500,ETD,417,419,C,yes
419,N024-26-23.450,E054-38-05.160,ETD,418,NONE,C,yes
508,N024-25-43.240,E054-39-07.050,PAX,NONE,509,E,yes
509,N024-25-41.690,E054-39-09.220,PAX,508,510,E,yes
510,N024-25-40.150,E054-39-11.400,PAX,509,NONE,E,yes
511,N024-25-35.410,E054-39-18.080,LWC,NONE,512,F,yes
512,N024-25-33.860,E054-39-20.250,LWC,511,513,E,yes
513,N024-25-32.320,E054-39-22.430,LWC,512,514,E,yes
514,N024-25-30.780,E054-39-24.600,LWC,513,515,E,yes
515,N024-25-29.230,E054-39-26.770,LWC,514,516,E,yes
516,N024-25-27.690,E054-39-28.950,LWC,515,NONE,F,yes
704,N024-25-51.000,E054-39-49.120,ALL,NONE,705,F,yes
705,N024-25-49.230,E054-39-48.620,ALL,704,706,F,yes
706,N024-25-47.420,E054-39-50.820,ALL,705,707,E,yes
707,N024-24-45.880,E054-39-53.000,ALL,706,708,E,yes
708,N024-25-44.330,E054-39-55.1703,ALL,707,709,E,yes
709,N024-25-42.610,E054-39-57.600,ALL,708,710,E,yes
710,N024-25-41.070,E054-39-59.770,ALL,709,711,E,yes
711,N024-25-39.520,E054-40-01.950,ALL,710,712,E,yes
712,N024-25-37.980,E054-40-04.120,ALL,711,713,E,yes
713,N024-25-36.440,E054-40-06.300,ALL,712,714,E,yes
714,N024-25-34.890,E054-40-08.470,ALL,713,715,E,yes
715,N024-25-33.350,E054-40-10.650,ALL,714,NONE,E,yes
GA,N024-25-01.270,E054-39-34.997,GA,NONE,NONE,B,yes
1,N024-26-39.913,E054-37-34.616,VIP,NONE,2,E,yes
2,N024-26-38.350,E054-37-36.808,VIP,1,3,E,yes
3,N024-26-36.215,E054-37-39.798,VIP,2,4,E,yes
4,N024-26-34.769,E054-37-41.809,VIP,3,5,E,yes
5,N024-26-33.016,E054-37-44.256,VIP,4,6,E,yes
6,N024-26-31.603,E054-37-46.234,VIP,5,NONE,E,yes
